29.29	26.82	.33
36.36	28.52	-15.04
28.28	25.17	-9.27
28.28	20.39	-17.89
19.19	15.29	-19.38
15.15	20.44	-19.08
17.17	26.67	-19.91
15.15	27.59	-17.48
21.21	30.37	-10.16
26.26	26.51	-16.35
37.37	32.43	-10.04
30.3	38.35	-3.74
13.13	35.06	-23
12.12	44.27	-21.28
23.23	39.64	-9.63
25.25	48.8	-6.71
18.18	43.91	-12.96
12.12	54.36	-15.93
21.21	59.25	-9.69
42.42	32.48	-11.23
47.47	36.55	-9.81
44.44	46.8	-8.02
40.4	50.66	-1.84
33.33	49.88	-7.84
33.33	59.1	-6.12
8.08	63.37	-9.45
10.1	67.18	-2.08
6.06	17.25	-16.88
5.05	22.6	-21.34
4.04	30.89	-22.05
7.07	28.42	-12.66
11.11	41.54	-5.94
8.08	37.94	-18.07
5.05	46.23	-18.78
7.07	39.74	-12.01
9.09	49.68	-3.09
6.06	53.33	-15.99
8.08	58.07	-6.18
11.11	54.62	1.79
39.39	34.03	.71
50.51	36.24	-2.67
42.42	40.05	4.29
46.46	33.46	12.65
52.53	31.87	2.77
54.55	28.42	10.21
41.41	27.39	10.15
32.32	29.45	10.26
47.47	19.1	10.8
35.35	18.89	15.14
41.41	11.84	11.51
48.48	12.15	4.99
51.52	11.84	11.51
54.55	17.66	19.43
55.56	22.75	20.79
42.42	21.72	20.74
38.38	14.36	23.61
45.45	8.39	18.94
20.2	62.8	3.31
22.22	54.83	-2.79
31.31	51.63	-.59
25.25	50.24	7
25.25	57.19	12.81
25.25	49.68	18.95
35.35	50.76	17.91
38.38	53.07	12.6
37.37	55.44	6.19
37.37	43.91	9.94
37.37	43.4	20.79
33.33	45.2	26.33
25.25	41.18	23.94
27.27	34.59	32.3
36.36	33.46	34.41
40.4	39.89	29.31
37.37	33.25	16.99
43.43	28.78	24.37
47.47	34.85	26.87
46.46	28.36	33.06
44.44	22.19	32.73
33.33	30.06	40.76
9.09	58.43	8.53
11.11	65.53	11.08
10.1	54.1	12.65
15.15	46.9	12.27
8.08	52.66	21.28
14.14	64.14	18.62
19.19	58.84	21.61
8.08	60.64	27.14
9.09	45.2	26.33
15.15	37.06	23.72
9.09	43.76	34.96
8.08	56.16	34.52
22.22	53.33	28.93
25.25	46.84	35.12
22.22	39.64	34.74
17.17	45.51	41.58
8.08	51.73	40.82
8.08	46.28	47.06
8.08	33.25	38.76
14.14	28.36	33.06
14.14	16.63	41.14
9.09	24.81	42.66
8.08	31.76	48.47
8.08	37.68	54.23
18.18	35.88	48.69
22.22	28.98	41.8
21.21	22.55	46.9
20.2	28.36	54.82
11.11	30.27	58.19
9.09	16.06	53.08
11.11	10.09	48.42
14.14	1.95	45.81
8.08	3.6	54.6
9.09	13.38	66
9.09	21.82	62.09
21.21	18.84	59.76
22.22	11.94	52.87
23.23	1.7	51.24
22.22	9.42	62.53
14.14	4.17	64.43
24.24	0.05	64.21
20.2	-6.18	64.97
8.08	-.16	68.55
9.09	-5	61.77
10.1	-7.62	51.83
11.11	-8.55	71.37
29.29	23.68	44.78
38.38	25.63	47.06
41.41	16.11	52
32.32	15.18	49.77
38.38	17.91	35.77
